Id,SalePrice
1461,105072.00398014532
1462,160651.94544943984
1463,171593.8551460315
1464,193620.291628688
1465,195419.5783036932
1466,170410.9509267902
1467,187912.6913366465
1468,167011.59380133537
1469,187615.60974799807
1470,121282.35538420928
1471,173756.75536550692
1472,103528.1618346544
1473,94809.59955666204
1474,138308.23485690646
1475,117069.58696857282
1476,298777.0489729606
1477,233474.0363482262
1478,285949.5260707746
1479,274573.3949604076
1480,358799.9102004845
1481,290538.9786252845
1482,207358.5747624643
1483,173772.80491708647
1484,174274.13221803177
1485,214407.38397465783
1486,189861.4318066662
1487,289873.9024282992
1488,221495.6636108142
1489,186607.8197408726
1490,204059.49499749017
1491,205897.86519757792
1492,87256.13950830135
1493,193251.8301341384
1494,256905.50623653593
1495,268880.02448419284
1496,220501.5765970832
1497,162824.41510104615
1498,183582.59238834362
1499,176031.4184254626
1500,172026.30952453052
1501,176070.0226614445
1502,161298.4044834179
1503,282468.92908689927
1504,234262.71926927
1505,205177.84161925002
1506,189792.25457028052
1507,208018.33414928368
1508,193350.3414804527
1509,170046.12451265875
1510,150672.79012317694
1511,142443.68385619242
1512,160490.82924521423
1513,131915.32015335344
1514,143398.0561670136
1515,145002.72498573907
1516,154102.94027241698
1517,165381.81719116383
1518,122834.77558508595
1519,207502.05864953547
1520,128455.15403138843
1521,121410.4194220425
1522,166933.76032536864
1523,98524.320794888
1524,114547.53331112314
1525,115709.64682200113
1526,114103.99660957235
1527,110612.35144585895
1528,144750.63859414132
1529,153927.9967236119
1530,173043.27952387166
1531,106573.6105134554
1532,99473.14007951155
1533,127741.31615218105
1534,126139.31277346557
1535,121451.3502507872
1536,102272.01410833198
1537,65980.2460325592
1538,142540.30319411602
1539,194519.91167826863
1540,83899.57419484592
1541,143301.99918565358
1542,113488.24574702133
1543,146457.8079192167
1544,85591.70038001465
1545,111521.75503405587
1546,132729.44157181118
1547,110139.91851061431
1548,125657.78898361512
1549,120557.10495570042
1550,119926.9680989956
1551,108399.05727082818
1552,118157.90030669988
1553,141371.76258365088
1554,110261.62490175554
1555,131204.3507437505
1556,102641.67011775657
1557,93386.57511882973
1558,105863.15573677386
1559,71422.39598510045
1560,130374.31075247131
1561,124470.58553006586
1562,136987.57723594442
1563,124409.69324551297
1564,143345.92141808468
1565,138598.33279910946
1566,212835.230748186
1567,87420.43746086549
1568,245043.50377957447
1569,117070.65929320431
1570,157133.14750880838
1571,110266.22236606211
1572,139851.06970151962
1573,179186.2881274784
1574,136433.84976834487
1575,199070.9154289737
1576,244612.76045636128
1577,178487.13784680344
1578,164579.1501244141
1579,146457.40517036815
